"target","location","forecast_week","bin_start_incl"
"1 wk ahead","New Jersey",43,"2.8"
"1 wk ahead","New Mexico",43,"1.5"
"1 wk ahead","New York",43,"0.9"
"1 wk ahead","North Carolina",43,"0.9"
"1 wk ahead","North Dakota",43,"0.2"
"1 wk ahead","Ohio",43,"0.8"
"1 wk ahead","Oklahoma",43,"2.5"
"1 wk ahead","Oregon",43,"1.1"
"1 wk ahead","Pennsylvania",43,"1.1"
"1 wk ahead","Puerto Rico",43,"6.0"
"1 wk ahead","Rhode Island",43,"0.5"
"1 wk ahead","South Carolina",43,"2.1"
"1 wk ahead","South Dakota",43,"1.0"
"1 wk ahead","Tennessee",43,"2.0"
"1 wk ahead","Texas",43,"2.0"
"1 wk ahead","Utah",43,"0.8"
"1 wk ahead","Vermont",43,"0.2"
"1 wk ahead","Virgin Islands",43,"2.0"
"1 wk ahead","Virginia",43,"2.0"
"1 wk ahead","Washington",43,"0.3"
"1 wk ahead","West Virginia",43,"0.7"
"1 wk ahead","Wisconsin",43,"1.4"
"1 wk ahead","Wyoming",43,"0.7"
"1 wk ahead","Alabama",44,"2.5"
"1 wk ahead","Alaska",44,"0.8"
"1 wk ahead","Arizona",44,"1.0"
"1 wk ahead","Arkansas",44,"1.6"
"1 wk ahead","California",44,"1.7"
"1 wk ahead","Colorado",44,"0.7"
"1 wk ahead","Connecticut",44,"1.7"
"1 wk ahead","Delaware",44,"0.0"
"1 wk ahead","District of Columbia",44,"5.1"
"1 wk ahead","Georgia",44,"2.6"
"1 wk ahead","Hawaii",44,"2.0"
"1 wk ahead","Idaho",44,"0.7"
"1 wk ahead","Illinois",44,"1.8"
"1 wk ahead","Indiana",44,"0.9"
"1 wk ahead","Iowa",44,"0.4"
"1 wk ahead","Kansas",44,"1.0"
"1 wk ahead","Kentucky",44,"0.7"
"1 wk ahead","Louisiana",44,"2.2"
"1 wk ahead","Maine",44,"0.6"
"1 wk ahead","Maryland",44,"1.2"
"1 wk ahead","Massachusetts",44,"0.7"
"1 wk ahead","Michigan",44,"1.6"
"1 wk ahead","Minnesota",44,"0.7"
"1 wk ahead","Mississippi",44,"3.0"
"1 wk ahead","Missouri",44,"1.3"
"1 wk ahead","Montana",44,"0.2"
"1 wk ahead","Nebraska",44,"0.6"
"1 wk ahead","Nevada",44,"1.1"
"1 wk ahead","New Hampshire",44,"0.5"
"1 wk ahead","New Jersey",44,"2.6"
"1 wk ahead","New Mexico",44,"1.4"
"1 wk ahead","New York",44,"1.2"
"1 wk ahead","North Carolina",44,"1.4"
"1 wk ahead","North Dakota",44,"0.2"
"1 wk ahead","Ohio",44,"0.8"
"1 wk ahead","Oklahoma",44,"2.4"
"1 wk ahead","Oregon",44,"1.4"
"1 wk ahead","Pennsylvania",44,"1.2"
"1 wk ahead","Puerto Rico",44,"7.1"
"1 wk ahead","Rhode Island",44,"0.5"
"1 wk ahead","South Carolina",44,"1.6"
"1 wk ahead","South Dakota",44,"1.1"
"1 wk ahead","Tennessee",44,"1.8"
"1 wk ahead","Texas",44,"2.1"
"1 wk ahead","Utah",44,"1.0"
"1 wk ahead","Vermont",44,"0.2"
"1 wk ahead","Virgin Islands",44,"3.7"
"1 wk ahead","Virginia",44,"2.0"
"1 wk ahead","Washington",44,"0.4"
"1 wk ahead","West Virginia",44,"0.7"
"1 wk ahead","Wisconsin",44,"1.3"
"1 wk ahead","Wyoming",44,"0.8"
"1 wk ahead","Alabama",45,"2.8"
"1 wk ahead","Alaska",45,"1.1"
"1 wk ahead","Arizona",45,"1.4"
"1 wk ahead","Arkansas",45,"1.8"
"1 wk ahead","California",45,"1.8"
"1 wk ahead","Colorado",45,"1.0"
"1 wk ahead","Connecticut",45,"1.6"
"1 wk ahead","Delaware",45,"0.1"
"1 wk ahead","District of Columbia",45,"5.5"
"1 wk ahead","Georgia",45,"2.6"
"1 wk ahead","Hawaii",45,"1.7"
"1 wk ahead","Idaho",45,"0.7"
"1 wk ahead","Illinois",45,"1.9"
"1 wk ahead","Indiana",45,"0.6"
"1 wk ahead","Iowa",45,"0.4"
"1 wk ahead","Kansas",45,"1.0"
"1 wk ahead","Kentucky",45,"1.2"
"1 wk ahead","Louisiana",45,"2.1"
"1 wk ahead","Maine",45,"0.8"
"1 wk ahead","Maryland",45,"0.9"
"1 wk ahead","Massachusetts",45,"0.8"
"1 wk ahead","Michigan",45,"1.7"
"1 wk ahead","Minnesota",45,"1.0"
"1 wk ahead","Mississippi",45,"2.7"
"1 wk ahead","Missouri",45,"1.4"
"1 wk ahead","Montana",45,"0.1"
"1 wk ahead","Nebraska",45,"0.4"
"1 wk ahead","Nevada",45,"0.9"
"1 wk ahead","New Hampshire",45,"0.4"
"1 wk ahead","New Jersey",45,"2.7"
"1 wk ahead","New Mexico",45,"1.3"
"1 wk ahead","New York",45,"1.1"
"1 wk ahead","North Carolina",45,"1.6"
"1 wk ahead","North Dakota",45,"0.4"
"1 wk ahead","Ohio",45,"0.7"
"1 wk ahead","Oklahoma",45,"3.4"
"1 wk ahead","Oregon",45,"0.8"
"1 wk ahead","Pennsylvania",45,"1.2"
"1 wk ahead","Puerto Rico",45,"7.6"
"1 wk ahead","Rhode Island",45,"0.3"
"1 wk ahead","South Carolina",45,"1.8"
"1 wk ahead","South Dakota",45,"1.4"
"1 wk ahead","Tennessee",45,"2.2"
"1 wk ahead","Texas",45,"2.2"
"1 wk ahead","Utah",45,"1.0"
"1 wk ahead","Vermont",45,"0.3"
"1 wk ahead","Virgin Islands",45,"4.7"
"1 wk ahead","Virginia",45,"2.1"
"1 wk ahead","Washington",45,"0.5"
"1 wk ahead","West Virginia",45,"1.0"
"1 wk ahead","Wisconsin",45,"1.0"
"1 wk ahead","Wyoming",45,"0.5"
"1 wk ahead","Alabama",46,"2.6"
"1 wk ahead","Alaska",46,"1.0"
"1 wk ahead","Arizona",46,"1.3"
"1 wk ahead","Arkansas",46,"1.6"
"1 wk ahead","California",46,"2.1"
"1 wk ahead","Colorado",46,"0.7"
"1 wk ahead","Connecticut",46,"1.8"
"1 wk ahead","Delaware",46,"0.0"
"1 wk ahead","District of Columbia",46,"6.5"
"1 wk ahead","Georgia",46,"3.1"
"1 wk ahead","Hawaii",46,"2.3"
"1 wk ahead","Idaho",46,"0.8"
"1 wk ahead","Illinois",46,"1.9"
"1 wk ahead","Indiana",46,"0.9"
"1 wk ahead","Iowa",46,"0.7"
"1 wk ahead","Kansas",46,"2.0"
"1 wk ahead","Kentucky",46,"0.9"
"1 wk ahead","Louisiana",46,"2.4"
"1 wk ahead","Maine",46,"0.7"
"1 wk ahead","Maryland",46,"1.7"
"1 wk ahead","Massachusetts",46,"0.8"
"1 wk ahead","Michigan",46,"1.5"
"1 wk ahead","Minnesota",46,"1.1"
"1 wk ahead","Mississippi",46,"3.6"
"1 wk ahead","Missouri",46,"1.8"
"1 wk ahead","Montana",46,"0.2"
"1 wk ahead","Nebraska",46,"0.6"
"1 wk ahead","Nevada",46,"1.2"
"1 wk ahead","New Hampshire",46,"0.4"
"1 wk ahead","New Jersey",46,"3.3"
"1 wk ahead","New Mexico",46,"1.4"
"1 wk ahead","New York",46,"1.7"
"1 wk ahead","North Carolina",46,"2.0"
"1 wk ahead","North Dakota",46,"0.5"
"1 wk ahead","Ohio",46,"0.8"
"1 wk ahead","Oklahoma",46,"3.0"
"1 wk ahead","Oregon",46,"1.0"
"1 wk ahead","Pennsylvania",46,"1.4"
"1 wk ahead","Puerto Rico",46,"10.0"
"1 wk ahead","Rhode Island",46,"0.3"
"1 wk ahead","South Carolina",46,"2.4"
"1 wk ahead","South Dakota",46,"1.3"
"1 wk ahead","Tennessee",46,"3.2"
"1 wk ahead","Texas",46,"2.6"
"1 wk ahead","Utah",46,"1.2"
"1 wk ahead","Vermont",46,"0.5"
"1 wk ahead","Virgin Islands",46,"7.6"
"1 wk ahead","Virginia",46,"2.3"
"1 wk ahead","Washington",46,"0.6"
"1 wk ahead","West Virginia",46,"1.1"
"1 wk ahead","Wisconsin",46,"0.9"
"1 wk ahead","Wyoming",46,"0.7"
"1 wk ahead","Alabama",47,"2.7"
"1 wk ahead","Alaska",47,"1.1"
"1 wk ahead","Arizona",47,"1.4"
"1 wk ahead","Arkansas",47,"1.3"
"1 wk ahead","California",47,"2.0"
"1 wk ahead","Colorado",47,"1.7"
"1 wk ahead","Connecticut",47,"1.7"
"1 wk ahead","Delaware",47,"0.0"
"1 wk ahead","District of Columbia",47,"6.7"
"1 wk ahead","Georgia",47,"2.7"
"1 wk ahead","Hawaii",47,"2.1"
"1 wk ahead","Idaho",47,"1.0"
"1 wk ahead","Illinois",47,"1.8"
"1 wk ahead","Indiana",47,"0.9"
"1 wk ahead","Iowa",47,"0.6"
"1 wk ahead","Kansas",47,"1.6"
"1 wk ahead","Kentucky",47,"1.4"
"1 wk ahead","Louisiana",47,"3.2"
"1 wk ahead","Maine",47,"0.8"
"1 wk ahead","Maryland",47,"1.1"
"1 wk ahead","Massachusetts",47,"0.7"
"1 wk ahead","Michigan",47,"1.1"
"1 wk ahead","Minnesota",47,"1.5"
"1 wk ahead","Mississippi",47,"3.1"
"1 wk ahead","Missouri",47,"1.9"
"1 wk ahead","Montana",47,"0.0"
"1 wk ahead","Nebraska",47,"0.8"
"1 wk ahead","Nevada",47,"1.3"
"1 wk ahead","New Hampshire",47,"0.3"
"1 wk ahead","New Jersey",47,"3.0"
"1 wk ahead","New Mexico",47,"1.4"
"1 wk ahead","New York",47,"1.6"
"1 wk ahead","North Carolina",47,"1.6"
"1 wk ahead","North Dakota",47,"0.7"
"1 wk ahead","Ohio",47,"1.0"
"1 wk ahead","Oklahoma",47,"3.2"
"1 wk ahead","Oregon",47,"1.0"
"1 wk ahead","Pennsylvania",47,"1.1"
"1 wk ahead","Puerto Rico",47,"10.8"
"1 wk ahead","Rhode Island",47,"0.3"
"1 wk ahead","South Carolina",47,"2.5"
"1 wk ahead","South Dakota",47,"1.3"
"1 wk ahead","Tennessee",47,"2.3"
"1 wk ahead","Texas",47,"2.5"
"1 wk ahead","Utah",47,"1.3"
"1 wk ahead","Vermont",47,"0.6"
"1 wk ahead","Virgin Islands",47,"3.3"
"1 wk ahead","Virginia",47,"2.2"
"1 wk ahead","Washington",47,"0.6"
"1 wk ahead","West Virginia",47,"1.0"
"1 wk ahead","Wisconsin",47,"1.1"
"1 wk ahead","Wyoming",47,"0.4"
"1 wk ahead","Alabama",48,"2.7"
"1 wk ahead","Alaska",48,"0.7"
"1 wk ahead","Arizona",48,"1.7"
"1 wk ahead","Arkansas",48,"1.3"
"1 wk ahead","California",48,"2.1"
"1 wk ahead","Colorado",48,"1.3"
"1 wk ahead","Connecticut",48,"1.6"
"1 wk ahead","Delaware",48,"0.2"
"1 wk ahead","District of Columbia",48,"5.2"
"1 wk ahead","Georgia",48,"2.8"
"1 wk ahead","Hawaii",48,"2.9"
"1 wk ahead","Idaho",48,"0.7"
"1 wk ahead","Illinois",48,"1.9"
"1 wk ahead","Indiana",48,"1.3"
"1 wk ahead","Iowa",48,"0.7"
"1 wk ahead","Kansas",48,"1.5"
"1 wk ahead","Kentucky",48,"0.7"
"1 wk ahead","Louisiana",48,"3.2"
"1 wk ahead","Maine",48,"0.8"
"1 wk ahead","Maryland",48,"1.1"
"1 wk ahead","Massachusetts",48,"0.9"
"1 wk ahead","Michigan",48,"1.9"
"1 wk ahead","Minnesota",48,"1.1"
"1 wk ahead","Mississippi",48,"2.8"
"1 wk ahead","Missouri",48,"1.7"
"1 wk ahead","Montana",48,"0.1"
"1 wk ahead","Nebraska",48,"0.5"
"1 wk ahead","Nevada",48,"1.9"
"1 wk ahead","New Hampshire",48,"0.3"
"1 wk ahead","New Jersey",48,"3.0"
"1 wk ahead","New Mexico",48,"1.5"
"1 wk ahead","New York",48,"1.5"
"1 wk ahead","North Carolina",48,"1.5"
"1 wk ahead","North Dakota",48,"1.3"
"1 wk ahead","Ohio",48,"1.0"
"1 wk ahead","Oklahoma",48,"3.4"
"1 wk ahead","Oregon",48,"1.1"
"1 wk ahead","Pennsylvania",48,"1.5"
"1 wk ahead","Puerto Rico",48,"11.2"
"1 wk ahead","Rhode Island",48,"0.3"
"1 wk ahead","South Carolina",48,"1.9"
"1 wk ahead","South Dakota",48,"1.0"
"1 wk ahead","Tennessee",48,"2.4"
"1 wk ahead","Texas",48,"3.1"
"1 wk ahead","Utah",48,"1.4"
"1 wk ahead","Vermont",48,"0.4"
"1 wk ahead","Virgin Islands",48,"2.0"
"1 wk ahead","Virginia",48,"2.2"
"1 wk ahead","Washington",48,"0.5"
"1 wk ahead","West Virginia",48,"1.2"
"1 wk ahead","Wisconsin",48,"1.5"
"1 wk ahead","Wyoming",48,"0.8"
"1 wk ahead","Alabama",49,"3.8"
"1 wk ahead","Alaska",49,"0.7"
"1 wk ahead","Arizona",49,"2.0"
"1 wk ahead","Arkansas",49,"2.0"
"1 wk ahead","California",49,"2.4"
"1 wk ahead","Colorado",49,"1.4"
"1 wk ahead","Connecticut",49,"1.7"
"1 wk ahead","Delaware",49,"0.1"
"1 wk ahead","District of Columbia",49,"7.8"
"1 wk ahead","Georgia",49,"3.2"
"1 wk ahead","Hawaii",49,"3.7"
"1 wk ahead","Idaho",49,"1.4"
"1 wk ahead","Illinois",49,"2.1"
"1 wk ahead","Indiana",49,"1.6"
"1 wk ahead","Iowa",49,"0.4"
"1 wk ahead","Kansas",49,"1.5"
"1 wk ahead","Kentucky",49,"1.0"
"1 wk ahead","Louisiana",49,"3.6"
"1 wk ahead","Maine",49,"0.6"
"1 wk ahead","Maryland",49,"1.4"
"1 wk ahead","Massachusetts",49,"1.0"
"1 wk ahead","Michigan",49,"1.7"
"1 wk ahead","Minnesota",49,"1.2"
"1 wk ahead","Mississippi",49,"3.6"
"1 wk ahead","Missouri",49,"1.9"
"1 wk ahead","Montana",49,"0.2"
"1 wk ahead","Nebraska",49,"0.5"
"1 wk ahead","Nevada",49,"1.5"
"1 wk ahead","New Hampshire",49,"0.5"
"1 wk ahead","New Jersey",49,"3.7"
"1 wk ahead","New Mexico",49,"1.6"
"1 wk ahead","New York",49,"1.5"
"1 wk ahead","North Carolina",49,"2.2"
"1 wk ahead","North Dakota",49,"0.0"
"1 wk ahead","Ohio",49,"1.3"
"1 wk ahead","Oklahoma",49,"5.1"
"1 wk ahead","Oregon",49,"2.2"
"1 wk ahead","Pennsylvania",49,"1.8"
"1 wk ahead","Puerto Rico",49,"10.0"
"1 wk ahead","Rhode Island",49,"0.5"
"1 wk ahead","South Carolina",49,"2.7"
"1 wk ahead","South Dakota",49,"1.1"
"1 wk ahead","Tennessee",49,"2.3"
"1 wk ahead","Texas",49,"3.4"
"1 wk ahead","Utah",49,"1.8"
"1 wk ahead","Vermont",49,"0.6"
"1 wk ahead","Virgin Islands",49,"2.6"
"1 wk ahead","Virginia",49,"2.3"
"1 wk ahead","Washington",49,"1.2"
"1 wk ahead","West Virginia",49,"1.3"
"1 wk ahead","Wisconsin",49,"0.9"
"1 wk ahead","Wyoming",49,"1.3"
"1 wk ahead","Alabama",50,"5.0"
"1 wk ahead","Alaska",50,"1.3"
"1 wk ahead","Arizona",50,"2.5"
"1 wk ahead","Arkansas",50,"1.6"
"1 wk ahead","California",50,"2.9"
"1 wk ahead","Colorado",50,"1.7"
"1 wk ahead","Connecticut",50,"1.8"
"1 wk ahead","Delaware",50,"0.1"
"1 wk ahead","District of Columbia",50,"8.4"
"1 wk ahead","Georgia",50,"4.2"
"1 wk ahead","Hawaii",50,"2.9"
"1 wk ahead","Idaho",50,"1.2"
"1 wk ahead","Illinois",50,"2.3"
"1 wk ahead","Indiana",50,"1.5"
"1 wk ahead","Iowa",50,"0.6"
"1 wk ahead","Kansas",50,"2.4"
"1 wk ahead","Kentucky",50,"3.8"
"1 wk ahead","Louisiana",50,"4.1"
"1 wk ahead","Maine",50,"0.7"
"1 wk ahead","Maryland",50,"1.8"
"1 wk ahead","Massachusetts",50,"1.2"
"1 wk ahead","Michigan",50,"2.1"
"1 wk ahead","Minnesota",50,"2.2"
"1 wk ahead","Mississippi",50,"4.8"
"1 wk ahead","Missouri",50,"2.3"
"1 wk ahead","Montana",50,"0.6"
"1 wk ahead","Nebraska",50,"0.9"
"1 wk ahead","Nevada",50,"1.7"
"1 wk ahead","New Hampshire",50,"0.6"
"1 wk ahead","New Jersey",50,"4.2"
"1 wk ahead","New Mexico",50,"2.1"
"1 wk ahead","New York",50,"3.1"
"1 wk ahead","North Carolina",50,"3.0"
"1 wk ahead","North Dakota",50,"2.9"
"1 wk ahead","Ohio",50,"1.3"
"1 wk ahead","Oklahoma",50,"4.4"
"1 wk ahead","Oregon",50,"2.3"
"1 wk ahead","Pennsylvania",50,"1.9"
"1 wk ahead","Puerto Rico",50,"12.1"
"1 wk ahead","Rhode Island",50,"0.5"
"1 wk ahead","South Carolina",50,"2.1"
"1 wk ahead","South Dakota",50,"1.4"
"1 wk ahead","Tennessee",50,"2.9"
"1 wk ahead","Texas",50,"4.1"
"1 wk ahead","Utah",50,"3.3"
"1 wk ahead","Vermont",50,"1.0"
"1 wk ahead","Virgin Islands",50,"1.0"
"1 wk ahead","Virginia",50,"2.9"
"1 wk ahead","Washington",50,"2.2"
"1 wk ahead","West Virginia",50,"1.5"
"1 wk ahead","Wisconsin",50,"1.6"
"1 wk ahead","Wyoming",50,"1.7"
"1 wk ahead","Alabama",51,"5.5"
"1 wk ahead","Alaska",51,"1.6"
"1 wk ahead","Arizona",51,"2.5"
"1 wk ahead","Arkansas",51,"2.3"
"1 wk ahead","California",51,"3.5"
"1 wk ahead","Colorado",51,"0.5"
"1 wk ahead","Connecticut",51,"2.0"
"1 wk ahead","Delaware",51,"0.1"
"1 wk ahead","District of Columbia",51,"8.3"
"1 wk ahead","Georgia",51,"4.5"
"1 wk ahead","Hawaii",51,"3.3"
"1 wk ahead","Idaho",51,"2.7"
"1 wk ahead","Illinois",51,"3.1"
"1 wk ahead","Indiana",51,"3.4"
"1 wk ahead","Iowa",51,"1.4"
"1 wk ahead","Kansas",51,"2.3"
"1 wk ahead","Kentucky",51,"4.3"
"1 wk ahead","Louisiana",51,"3.9"
"1 wk ahead","Maine",51,"1.0"
"1 wk ahead","Maryland",51,"2.4"
"1 wk ahead","Massachusetts",51,"1.6"
"1 wk ahead","Michigan",51,"2.4"
"1 wk ahead","Minnesota",51,"2.3"
"1 wk ahead","Mississippi",51,"4.1"
"1 wk ahead","Missouri",51,"4.1"
"1 wk ahead","Montana",51,"0.2"
"1 wk ahead","Nebraska",51,"1.0"
"1 wk ahead","Nevada",51,"2.1"
"1 wk ahead","New Hampshire",51,"0.2"
"1 wk ahead","New Jersey",51,"5.8"
"1 wk ahead","New Mexico",51,"2.0"
"1 wk ahead","New York",51,"5.4"
"1 wk ahead","North Carolina",51,"3.4"
"1 wk ahead","North Dakota",51,"0.4"
"1 wk ahead","Ohio",51,"1.6"
"1 wk ahead","Oklahoma",51,"6.1"
"1 wk ahead","Oregon",51,"5.8"
"1 wk ahead","Pennsylvania",51,"3.1"
"1 wk ahead","Puerto Rico",51,"12.1"
"1 wk ahead","Rhode Island",51,"0.8"
"1 wk ahead","South Carolina",51,"4.3"
"1 wk ahead","South Dakota",51,"1.4"
"1 wk ahead","Tennessee",51,"3.5"
"1 wk ahead","Texas",51,"4.3"
"1 wk ahead","Utah",51,"3.9"
"1 wk ahead","Vermont",51,"1.0"
"1 wk ahead","Virgin Islands",51,"1.4"
"1 wk ahead","Virginia",51,"3.4"
"1 wk ahead","Washington",51,"2.9"
"1 wk ahead","West Virginia",51,"2.4"
"1 wk ahead","Wisconsin",51,"1.3"
"1 wk ahead","Wyoming",51,"1.3"
"1 wk ahead","Alabama",52,"4.4"
"1 wk ahead","Alaska",52,"0.9"
"1 wk ahead","Arizona",52,"2.4"
"1 wk ahead","Arkansas",52,"1.9"
"1 wk ahead","California",52,"3.3"
"1 wk ahead","Colorado",52,"1.9"
"1 wk ahead","Connecticut",52,"2.9"
"1 wk ahead","Delaware",52,"0.2"
"1 wk ahead","District of Columbia",52,"7.8"
"1 wk ahead","Georgia",52,"3.7"
"1 wk ahead","Hawaii",52,"3.5"
"1 wk ahead","Idaho",52,"1.8"
"1 wk ahead","Illinois",52,"2.8"
"1 wk ahead","Indiana",52,"2.3"
"1 wk ahead","Iowa",52,"0.8"
"1 wk ahead","Kansas",52,"2.9"
"1 wk ahead","Kentucky",52,"2.6"
"1 wk ahead","Louisiana",52,"3.6"
"1 wk ahead","Maine",52,"0.9"
"1 wk ahead","Maryland",52,"1.7"
"1 wk ahead","Massachusetts",52,"1.3"
"1 wk ahead","Michigan",52,"2.2"
"1 wk ahead","Minnesota",52,"2.3"
"1 wk ahead","Mississippi",52,"3.5"
"1 wk ahead","Missouri",52,"4.4"
"1 wk ahead","Montana",52,"0.2"
"1 wk ahead","Nebraska",52,"1.5"
"1 wk ahead","Nevada",52,"1.9"
"1 wk ahead","New Hampshire",52,"0.5"
"1 wk ahead","New Jersey",52,"5.5"
"1 wk ahead","New Mexico",52,"2.2"
"1 wk ahead","New York",52,"5.2"
"1 wk ahead","North Carolina",52,"2.6"
"1 wk ahead","North Dakota",52,"4.3"
"1 wk ahead","Ohio",52,"1.4"
"1 wk ahead","Oklahoma",52,"6.3"
"1 wk ahead","Oregon",52,"5.2"
"1 wk ahead","Pennsylvania",52,"2.9"
"1 wk ahead","Puerto Rico",52,"9.9"
"1 wk ahead","Rhode Island",52,"1.3"
"1 wk ahead","South Carolina",52,"4.5"
"1 wk ahead","South Dakota",52,"1.7"
"1 wk ahead","Tennessee",52,"3.8"
"1 wk ahead","Texas",52,"4.2"
